"Vi (unknown)","value(VT("/Saida<0>") 6.75e-05)","value(VT("/Saida<1>") 6.75e-05)","value(VT("/Saida<2>") 6.75e-05)","value(VT("/Saida<3>") 6.75e-05)","value(VT("/Saida<4>") 6.75e-05)"
1.304,0.00000,0.00000,0.00000,0.00000,5.000
1.312,0.00000,0.00000,0.00000,0.00000,5.000
1.320,0.00000,0.00000,0.00000,0.00000,5.000
1.328,0.00000,0.00000,0.00000,0.00000,5.000
1.336,5.000,0.00000,0.00000,0.00000,5.000
1.344,5.000,0.00000,0.00000,0.00000,5.000
1.352,5.000,0.00000,0.00000,0.00000,5.000
1.360,5.000,0.00000,0.00000,0.00000,5.000
1.368,5.000,0.00000,0.00000,0.00000,5.000
1.376,5.000,0.00000,0.00000,0.00000,5.000
1.384,5.000,0.00000,0.00000,0.00000,5.000
1.392,5.000,0.00000,0.00000,0.00000,5.000
1.400,5.000,0.00000,0.00000,0.00000,5.000
1.408,5.000,0.00000,0.00000,0.00000,5.000
1.416,5.000,0.00000,0.00000,0.00000,5.000
1.424,0.00000,5.000,0.00000,0.00000,5.000
1.432,0.00000,5.000,0.00000,0.00000,5.000
1.440,0.00000,5.000,0.00000,0.00000,5.000
1.448,0.00000,5.000,0.00000,0.00000,5.000
1.456,0.00000,5.000,0.00000,0.00000,5.000
1.464,0.00000,5.000,0.00000,0.00000,5.000
1.472,0.00000,5.000,0.00000,0.00000,5.000
1.480,0.00000,5.000,0.00000,0.00000,5.000
1.488,0.00000,5.000,0.00000,0.00000,5.000
1.496,0.00000,5.000,0.00000,0.00000,5.000
1.504,5.000,5.000,0.00000,0.00000,5.000
1.512,5.000,5.000,0.00000,0.00000,5.000
1.520,5.000,5.000,0.00000,0.00000,5.000
1.528,5.000,5.000,0.00000,0.00000,5.000
1.536,5.000,5.000,0.00000,0.00000,5.000
1.544,5.000,5.000,0.00000,0.00000,5.000
1.552,5.000,5.000,0.00000,0.00000,5.000
1.560,5.000,5.000,0.00000,0.00000,5.000
1.568,5.000,5.000,0.00000,0.00000,5.000
1.576,5.000,5.000,0.00000,0.00000,5.000
1.584,0.00000,0.00000,5.000,0.00000,5.000
1.592,0.00000,0.00000,5.000,0.00000,5.000
1.600,0.00000,0.00000,5.000,0.00000,5.000
1.608,0.00000,0.00000,5.000,0.00000,5.000
1.616,0.00000,0.00000,5.000,0.00000,5.000
1.624,0.00000,0.00000,5.000,0.00000,5.000
1.632,0.00000,0.00000,5.000,0.00000,5.000
1.640,0.00000,0.00000,5.000,0.00000,5.000
1.648,0.00000,0.00000,5.000,0.00000,5.000
1.656,0.00000,0.00000,5.000,0.00000,5.000
1.664,5.000,0.00000,5.000,0.00000,5.000
1.672,5.000,0.00000,5.000,0.00000,5.000
1.680,5.000,0.00000,5.000,0.00000,5.000
1.688,5.000,0.00000,5.000,0.00000,5.000
1.696,5.000,0.00000,5.000,0.00000,5.000
1.704,5.000,0.00000,5.000,0.00000,5.000
1.712,5.000,0.00000,5.000,0.00000,5.000
1.720,5.000,0.00000,5.000,0.00000,5.000
1.728,5.000,0.00000,5.000,0.00000,5.000
1.736,5.000,0.00000,5.000,0.00000,5.000
1.744,0.00000,5.000,5.000,0.00000,5.000
1.752,0.00000,5.000,5.000,0.00000,5.000
1.760,0.00000,5.000,5.000,0.00000,5.000
1.768,0.00000,5.000,5.000,0.00000,5.000
1.776,0.00000,5.000,5.000,0.00000,5.000
1.784,0.00000,5.000,5.000,0.00000,5.000
1.792,0.00000,5.000,5.000,0.00000,5.000
1.800,0.00000,5.000,5.000,0.00000,5.000
1.808,0.00000,5.000,5.000,0.00000,5.000
1.816,0.00000,5.000,5.000,0.00000,5.000
1.824,0.00000,5.000,5.000,0.00000,5.000
1.832,5.000,5.000,5.000,0.00000,5.000
1.840,5.000,5.000,5.000,0.00000,5.000
1.848,5.000,5.000,5.000,0.00000,5.000
1.856,5.000,5.000,5.000,0.00000,5.000
1.864,5.000,5.000,5.000,0.00000,5.000
1.872,5.000,5.000,5.000,0.00000,5.000
1.880,5.000,5.000,5.000,0.00000,5.000
1.888,5.000,5.000,5.000,0.00000,5.000
1.896,5.000,5.000,5.000,0.00000,5.000
1.904,5.000,5.000,5.000,0.00000,5.000
1.912,0.00000,0.00000,0.00000,5.000,5.000
1.920,0.00000,0.00000,0.00000,5.000,5.000
1.928,0.00000,0.00000,0.00000,5.000,5.000
1.936,0.00000,0.00000,0.00000,5.000,5.000
1.944,0.00000,0.00000,0.00000,5.000,5.000
1.952,0.00000,0.00000,0.00000,5.000,5.000
1.960,0.00000,0.00000,0.00000,5.000,5.000
1.968,0.00000,0.00000,0.00000,5.000,5.000
1.976,0.00000,0.00000,0.00000,5.000,5.000
1.984,0.00000,0.00000,0.00000,5.000,5.000
1.992,5.000,0.00000,0.00000,5.000,5.000
2.000,5.000,0.00000,0.00000,5.000,5.000
2.008,5.000,0.00000,0.00000,5.000,5.000
2.016,5.000,0.00000,0.00000,5.000,5.000
2.024,5.000,0.00000,0.00000,5.000,5.000
2.032,5.000,0.00000,0.00000,5.000,5.000
2.040,5.000,0.00000,0.00000,5.000,5.000
2.048,5.000,0.00000,0.00000,5.000,5.000
2.056,5.000,0.00000,0.00000,5.000,5.000
2.064,5.000,0.00000,0.00000,5.000,5.000
2.072,0.00000,5.000,0.00000,5.000,5.000
2.080,0.00000,5.000,0.00000,5.000,5.000
2.088,0.00000,5.000,0.00000,5.000,5.000
2.096,0.00000,5.000,0.00000,5.000,5.000
2.104,0.00000,5.000,0.00000,5.000,5.000
2.112,0.00000,5.000,0.00000,5.000,5.000
2.120,0.00000,5.000,0.00000,5.000,5.000
2.128,0.00000,5.000,0.00000,5.000,5.000
2.136,0.00000,5.000,0.00000,5.000,5.000
2.144,0.00000,5.000,0.00000,5.000,5.000
2.152,5.000,5.000,0.00000,5.000,5.000
2.160,5.000,5.000,0.00000,5.000,5.000
2.168,5.000,5.000,0.00000,5.000,5.000
2.176,5.000,5.000,0.00000,5.000,5.000
2.184,5.000,5.000,0.00000,5.000,5.000
2.192,5.000,5.000,0.00000,5.000,5.000
2.200,5.000,5.000,0.00000,5.000,5.000
2.208,5.000,5.000,0.00000,5.000,5.000
2.216,5.000,5.000,0.00000,5.000,5.000
2.224,5.000,5.000,0.00000,5.000,5.000
2.232,0.00000,0.00000,5.000,5.000,5.000
2.240,0.00000,0.00000,5.000,5.000,5.000
2.248,0.00000,0.00000,5.000,5.000,5.000
2.256,0.00000,0.00000,5.000,5.000,5.000
2.264,0.00000,0.00000,5.000,5.000,5.000
2.272,0.00000,0.00000,5.000,5.000,5.000
2.280,0.00000,0.00000,5.000,5.000,5.000
2.288,0.00000,0.00000,5.000,5.000,5.000
2.296,0.00000,0.00000,5.000,5.000,5.000
2.304,0.00000,0.00000,5.000,5.000,5.000
2.312,5.000,0.00000,5.000,5.000,5.000
2.320,5.000,0.00000,5.000,5.000,5.000
2.328,5.000,0.00000,5.000,5.000,5.000
2.336,5.000,0.00000,5.000,5.000,5.000
2.344,5.000,0.00000,5.000,5.000,5.000
2.352,5.000,0.00000,5.000,5.000,5.000
2.360,5.000,0.00000,5.000,5.000,5.000
2.368,5.000,0.00000,5.000,5.000,5.000
2.376,5.000,0.00000,5.000,5.000,5.000
2.384,5.000,0.00000,5.000,5.000,5.000
2.392,0.00000,5.000,5.000,5.000,5.000
2.400,0.00000,5.000,5.000,5.000,5.000
2.408,0.00000,5.000,5.000,5.000,5.000
2.416,0.00000,5.000,5.000,5.000,5.000
2.424,0.00000,5.000,5.000,5.000,5.000
2.432,0.00000,5.000,5.000,5.000,5.000
2.440,0.00000,5.000,5.000,5.000,5.000
2.448,0.00000,5.000,5.000,5.000,5.000
2.456,0.00000,5.000,5.000,5.000,5.000
2.464,0.00000,5.000,5.000,5.000,5.000
2.472,5.000,5.000,5.000,5.000,5.000
2.480,5.000,5.000,5.000,5.000,5.000
2.488,5.000,5.000,5.000,5.000,5.000
2.496,5.000,5.000,5.000,5.000,5.000
2.504,5.000,5.000,5.000,5.000,5.000
2.512,5.000,5.000,5.000,5.000,5.000
2.520,5.000,5.000,5.000,5.000,5.000
2.528,5.000,5.000,5.000,5.000,5.000
2.536,5.000,5.000,5.000,5.000,5.000
2.544,5.000,5.000,5.000,5.000,5.000
2.552,5.000,5.000,5.000,5.000,5.000
2.560,5.000,5.000,5.000,5.000,5.000
