"Vi(DAC)","Vo(ADC-s0)","Vo(ADC-s1)","Vo(ADC-s2)","Vo(ADC-s3)","Vo(ADC-s4)","Vo(ADC-s5)","Vo(ADC-s6)","Vo(ADC-s7)"
1.699219,5,0,0,5,5,0,5,0
1.704102,5,0,0,5,5,0,5,0
1.708985,5,0,0,5,5,0,5,0
1.713867,0,5,0,5,5,0,5,0
1.718750,0,5,0,5,5,0,5,0
1.723633,0,5,0,5,5,0,5,0
1.728516,5,5,0,5,5,0,5,0
1.733399,5,5,0,5,5,0,5,0
1.738281,5,5,0,5,5,0,5,0
1.743164,5,5,0,5,5,0,5,0
1.748047,0,0,5,5,5,0,5,0
1.752930,0,0,5,5,5,0,5,0
1.757813,0,0,5,5,5,0,5,0
1.762695,0,0,5,5,5,0,5,0
1.767578,0,0,5,5,5,0,5,0
1.772461,5,0,5,5,5,0,5,0
1.777344,5,0,5,5,5,0,5,0
1.782227,5,0,5,5,5,0,5,0
1.787110,0,5,5,5,5,0,5,0
1.791992,0,5,5,5,5,0,5,0
1.796875,0,5,5,5,5,0,5,0
1.801758,0,5,5,5,5,0,5,0
1.806641,5,5,5,5,5,0,5,0
1.811524,5,5,5,5,5,0,5,0
1.816406,5,5,5,5,5,0,5,0
1.821289,0,0,0,0,0,5,5,0
1.826172,0,0,0,0,0,5,5,0
1.831055,0,0,0,0,0,5,5,0
1.835938,0,0,0,0,0,5,5,0
1.840820,0,0,0,0,0,5,5,0
1.845703,0,0,0,0,0,5,5,0
1.850586,5,0,0,0,0,5,5,0
1.855469,5,0,0,0,0,5,5,0
1.860352,5,0,0,0,0,5,5,0
1.865235,5,0,0,0,0,5,5,0
1.870117,0,5,0,0,0,5,5,0
1.875000,0,5,0,0,0,5,5,0
1.879883,0,5,0,0,0,5,5,0
1.884766,5,5,0,0,0,5,5,0
1.889649,5,5,0,0,0,5,5,0
1.894531,5,5,0,0,0,5,5,0
1.899414,5,5,0,0,0,5,5,0
1.904297,5,5,0,0,0,5,5,0
1.909180,0,0,5,0,0,5,5,0
1.914063,0,0,5,0,0,5,5,0
1.918945,0,0,5,0,0,5,5,0
1.923828,0,0,5,0,0,5,5,0
1.928711,5,0,5,0,0,5,5,0
1.933594,5,0,5,0,0,5,5,0
